4673150168693027|04|28|609
4673150661430349|07|29|163
4673150624591864|12|24|007
4673150191575555|04|29|191
4673150274492413|10|28|530
4673150162480405|01|26|529
4673150329958319|04|26|343
4673150954112976|10|26|002
4673150608799236|02|28|519
4673150123810732|08|28|196
4673150227115129|04|29|380
4673150020248788|12|28|817
4673150198913387|12|24|231
4673150909567464|11|24|562
4673150327764602|01|29|183
4673150963853271|07|25|553
4673150710207425|04|29|414
4673150763768406|07|29|931
4673150601513154|06|29|293
4673150314289969|11|25|627
4673150100603308|11|27|955
4673150234320829|02|29|983
4673150270014930|09|25|393
4673150935051558|03|25|528
4673150281048331|01|28|201
4673150596336330|10|29|383
4673150277066990|03|29|143
4673150374507680|03|25|236
4673150919753815|10|26|353
4673150754186741|03|26|903
4673150130220768|11|26|088
4673150459322658|07|28|031
4673150447874810|07|26|833
4673150990653405|03|28|077
4673150152730256|03|28|012
4673150222730898|10|27|508
4673150444555305|08|29|032
4673150202629540|12|24|810
4673150098541379|04|28|941
4673150601171219|06|25|281
4673150537807787|11|24|356
4673150037346633|11|29|829
4673150249561755|02|27|308
4673150906866554|05|27|930
4673150233147785|12|26|876
4673150002793207|12|25|661
4673150595696072|10|28|304
4673150349283896|04|25|742
4673150022212246|06|27|511
4673150053298775|09|24|431
4673150972768429|11|24|574
4673150280976771|01|25|713
4673150590679511|01|26|498
4673150402865035|09|28|239
4673150006095757|06|26|440
4673150087274826|02|25|494
4673150219177996|09|25|483
4673150966789274|02|29|218
4673150984946120|12|29|705
4673150183357392|03|25|202
4673150221935340|05|29|174
4673150244632155|03|25|250
4673150335177631|09|24|873
4673150012644499|10|24|256
4673150478709117|02|25|506
4673150154120183|04|25|381
4673150486669493|02|27|980
4673150621933382|08|29|013
4673150300156453|12|26|087
4673150978278712|04|26|644
4673150686181133|08|29|031
4673150754537448|12|28|086
4673150142233288|11|26|460
4673150001168070|04|26|049
4673150795207498|03|28|354
4673150983598377|07|29|895
4673150366749340|04|25|728
4673150777189029|01|29|565
4673150093683077|10|26|522
4673150457502335|04|26|586
4673150176251834|07|27|500
4673150737082496|03|26|820
4673150024349772|09|29|369
4673150543029079|03|25|244
4673150991241937|12|26|565
4673150158859562|07|28|126
4673150915548748|09|29|980
4673150425171411|03|29|392
4673150299378639|08|27|896
4673150115247273|09|27|151
4673150611026544|09|29|679
4673150608373982|12|28|317
4673150067668021|12|29|179
4673150619011555|06|26|440
4673150101735745|12|27|760
4673150372673385|06|26|120
4673150810569906|09|24|569
4673150470262651|12|27|388
4673150469536339|12|28|103
4673150082765034|11|29|676
